Spaceport,Latitude,Longitude,Coast_km,Coast_Category
Baikonur Cosmodrome,45.965,63.552,1027.5,Deep-Inland
Plesetsk Cosmodrome,62.927,40.577,179,Near-Inland
Cape Canaveral / Kennedy Space Center,28.562,-80.577,7.3,Coastal
Vandenberg Space Force Base,34.757,-120.526,9.3,Coastal
Guiana Space Centre,5.232,-52.77,14.8,Coastal
Jiuquan Satellite Launch Center,40.96,100.298,1635.1,Deep-Inland
Xichang Satellite Launch Center,28.246,102.026,1099.3,Deep-Inland
Taiyuan Satellite Launch Center,38.849,111.608,650.6,Deep-Inland
Satish Dhawan Space Centre,13.733,80.235,7.9,Coastal
Tanegashima Space Center,30.401,130.975,2.4,Coastal
Rocket Lab Launch Complex 1,-39.262,177.864,5.2,Coastal
Wallops Flight Facility,37.834,-75.488,3.9,Coastal
Pacific Spaceport Complex,57.435,-152.339,5.3,Coastal
Omelek Island,9.048,167.743,7.1,Coastal
Spaceport Kii,33.82,135.81,8.6,Coastal
Pacific Missile Range Facility,22.022,-159.785,2.9,Coastal
Mojave Air and Space Port,34.901,-118.152,105.1,Near-Inland
Spaceport Cornwall,50.441,-5.003,8.2,Coastal
Uchinoura Space Center,31.251,131.079,6,Coastal
